processed_msg,freq
5 your password has been updated please try to log in with the new password,1
50 match 25 free spins for sweet 16 is available for a r20 minimum deposit,1
50 minimum deposit via card is required to redeem the offer,1
50 spins on big night,1
50 up to 100 use coupon ccsun available on sunday,1
500 all set,2
500 if you deposit with bitcoin min 25,1
500 with bitcoin,1
60 bonus credited for you,1
60x,1
60x playthrough,1
625 soccer handicap betting 1x2 threeway handicap betting is available where one team receives a 1 goal startfor example man utd v everton 01a bet for man utd 1 goal handicap wins if man utd wins by at least 2 goals,1
6875 was credited as the lucky 125 bonus 50 free spins on dynasty,1
6973 has been credited for your weekly cashback kewanee,1
7 and 11,1
7 stud pokerbingo gamesboard gameseuropean slot pokerkenorealseries video slotsscratch cardsslots,1
75 has been added good luck,1
750 d,1
80 30 free spins on cleopatras pyramid ii would you like me to apply it,1
8000 in free chips is now added,1
85 has been added to the account good luck,1
90 35 free spins on funky chicken,1
90 45 spins on triple paradise riches all set and there is a nice 110 if you deposit with amex,1
90 55 free spins on dolphin reef all set and there is a nice 110 if you deposit with amex or mastercard,1
9055 spins,1
95 30 free spins has ben credited on big night,1
98480488 has just been graded by the bet team,1
a 10 free bonus has been credited to the account for you,1
a 10 free play offer is available are you interested,1
a 100 match and 35 spins for the achilles game have been credited for you,1
a 100 match and 35 spins for the achilles game have been redeemed to the account for you,1
a 100 match bonus is available for you now,1
a 100 match has been redeemed as per your request,1
a 100 match offer with no spins has been redeemed as per your request,1
a 100 weekly mastercard bonus,1
a 1500 bonus has been credited for you,1
a 20 free bonus has been redeemed to the account for you,1
a 200 match with 50 spins on run rabbit run has been added for you,1
a 25 bonus has been credited to the account,1
a 25 bonus has been credited to the account for you,1
a 25 bonus was added for you to try your luck with,1
a 30 bonus has been redeemed to the account for you,1
a 45 bonus has been redeemed to the account for you,1
a 60 bonus has been added,1
a 75 match offer has been redeemed for you,1
a 90 bonus 50 free spins on mayan lost treasures valid on 1 dep per day this week,1
a 90 bonus 55 free spins on dolphin reef valid on 1 dep per day this june,1
a al orden,1
a bank wire would put them on your bank account,1
a bankwire takes 515 business days to show up on your account,1
a bitcoin withdrawal may be done on the 13th of september 2022,1
a bitcoin withdrawal request can take up to 48 hours to reflect on your crypto wallet after it has been processed by the payment departments,1
a bonus has been added,2
a bonus of 100 has been added,1
a call should be made once an agent is available to connect with you via phone,1
a cashout can be done only when the playthrough balance is 0,1
a comp is now credited cheree remember you have 150 on 100,1
a comp of 10 has now been added for you,2
a confirmation was sent to you on the 31st august when it was sent out,1
a coupon can only be redeemed once the full deposit is made i can add for you instead another bonus to match your deposit,1
a coupon code is required to review the offer,1
a coupon is a bonus,1
a creditdebit card would be preferred the system may not accept chime cards,1
a deposit automatically activates the bonus,1
a deposit is currently required,1
a deposit is currently required on account to enjoy other free bonuses,1
a deposit is first required before you are able to redeem another free offer at this time,1
a deposit is first required bradley,1
a deposit is first required on account before any free offers can be redeemed,1
a deposit is needed at the moment as you have enjoyed 4 free bonuses consecutively,1
a deposit is needed before another bonus can be added to your account,1
a deposit is needed on your account before a free bonus can be added to it this is due to the last few transactions on your account being the redemption of free offers,1
a deposit is needed on your account before a free bonus can be added to it this is due to the last transaction on your account being the redemption of a free offer,2
a deposit is not required to activate the offer,1
a deposit is now required to enjoy other free offers,1
a deposit is now required to enjoy other free offers on account,1
a deposit is required,1
a deposit is required at this time to enjoy free offers on account,1
a deposit is required before a free bonus can be added,1
a deposit is required before another free offer can be applied,2
a deposit is required before you can redeem the bonus as you have redeemed a free welcome bonus already,1
a deposit is required on account at this time to be able to enjoy other free offers,1
a deposit is required on account at this time to enjoy other free bonuses,1
a deposit is required on your account before a free bonus can be added to it,1
a deposit is required to enjoy other free bonuses at this time,1
a deposit match may be used 3222bonus is a free offer not a deposit match,1
a deposit of at least 25 must be made and rolled over before a withdrawal can be done,1
a deposit should be made and wagered in the poker section,1
a deposit will be needed before your account can qualify for another free bonus,1
a deposit will be required,1
a deposit would first be required before you are able to redeem your cashback,1
a free bonus,1
a free bonus credit of 10 has been applied to your account for you to play with and try your luck on the games,1
a free bonus for 20 has been added for you,1
a free bonus for 20 was added,1
a free bonus for 21 has been added,1
a free bonus is not available for your account at this time,1
a free bonus is not available however you may claim the welcome bonus 1000juicy on your first deposit of 25 or more to receive 200 pending bonus up to 1000 and 25 free spins,1
a free bonus of 100 has been added for you,1
a free bonus of 20 has been added,1
a free bonus of 50 has been credited to your account at this time,1
a free bonus offer of 20 has been added for you,1
a free bonus offer of 31 has been added for you to play with and enjoy at this time,1
a free bonus offer of 50 has been added for you,3
a free bonus offer of 50 has been added for you to play with and enjoy at this time,1
a free bonus offer of 60 has been added for you to play with and enjoy at this time,1
a free bonus offer of r100 has been added,1
a free bonus offer of r100 has been added for you,1
a free bonus was already redeemed on the 30 sept,1
a free offer is not always guaranteed after every single deposit,1
a free offer is not available for the account,1
a free offer is not guaranteed after each deposit however you can check your email and message centre for available offers,1
a free offer should not be used with a deposit,1
a free welcome offer of r250 has been added for you,1
a genuine solution for all your queries thank you for contacting casino support my name is angel and i am happy to help,9
a genuine solution for all your queries thank you for contacting casino support my name is angel how can i help,6
a great 100 25 free spin son bubble bubble 2 has been added for you,1
a great 100 match offer can be added for you should i redeem the offer,1
a great 150 match offer has been added for you jason,1
a ha,1
a hearty i am very delighted to have you come in today and will do my best to assist you for the finest results,3
a hearty i would very delighted to assist you for the finest results,43
a hippity hoppity hi to you my name is brenda and i am bouncing in to help you today,10
a huge bonus like that will sure help by the way max bet 500,1
a little tip between us as well you can look for the red ribbon on the games in the top right corner in order to know which are the hot bonus games right now,1
a lucky deposit match is the best offer available now,1
a match bonus was not redeemed to the account with the deposit susan,1
a match can only be added to the deposit directly,1
a match offer of 150 has been added for you,1
a million dollars and a snickers bar,1
a minimum deposit of 25 is needed to activate the free play offer unless you have a coupon code we can activate,1
a minimum deposit of 2500 is required to be able to redeem your spintintin 2006 deposit bonus offer,1
a nice 50 bonus is now on your account with extra luck,1
a no deposit bonus has a higher playthrough and a maximum cashout amount,1
a parlay bet shall only be paid if all of the games selected in the parlay are correct meaning that the customer must correctly select all of the games in hisher parlay bet against the spreadoddspointsoverunder or whatever the handicapping method for the eventsgames wagered,1
a pleasure,1
a pleasure alicia take care d,1
a pleasure buddy,2
a pleasure to assist you,2
a pleasure to have you here linnea ill be more than happy to assist you,1
a pleasure to me,2
a proof of address utility bill or bank statement showing the name and address registered on the account issued within the last 90 days front and back of a signed valid piece of photo identification either a drivers license or passport the front and back of your card 5163611789,1
a quick moment please,1
a quick moment please will let you know what we need from you,1
a quick moment please will make sure the attachments are there,1
a r150 bonus has been credited to the account for you,1
a recent deposit is required,1
a report has been made,1
a response will be sent no later the 18th of october2022,1
a review of the account was done and at this time only free spins are available,1
a review of your account shows that there isnt an available no deposit bonus at this time the bonuses available are some great deposit offers which can be viewed and claimed from the promotions section in the cashier,1
a review of your account shows that you had claimed a no deposit bonus prior and havent deposited just yet this means you wont be able to claim another nodeposit offer right now after developing a deposit history though there are some more great nodeposit offers that you should be able to claimright now though you can claim a great match on your first deposit or 25 or more or you can check out some of our great freeroll tournaments to enjoy some free play,1
a review of your account shows that you have a 2 bonus in the classic casino this balance came from redeeming reward points itll clear if your balance goes to 0,1
a review of your account shows that you have already redeemed this bonus code,1
a review of your account shows that you have met the wagering requirements,1
a review of your account shows that you redeemed the spins 50bday 50 free spins on goldbeard,1
a review shows that you successfully claimed the code llscream10 in your account,1
a screenshot allows you to capture exactly what youre seeing on your screen to share it to complete a screenshot using your windows please follow the steps below1click on the window you would like to capture2press ctrl print screen prtscrn simultaneously to capture a screenshot of the active window 3select the windows key on your keyboard then type and select paint this will open the paint application4in the paint window hold down the ctrl key and then press and release both the ctrl v together5your screenshot should then appear in the paint window6to save the image click on the file drop down menu located in the upper lefthand side of the toolbar and click save as7in the save as window browse and save to your location for example desktop enter a file name on the file name field and then click save to your screenshot,1
a screenshot is not required if the promotion is not in your account it cannot be claimed,1
a screenshot is required,1
a special happy birthday to you,1
a suggest browser is microsoft edge,1
a suggested browser is microsoft edge or mozilla firefox as chrome does not always support our games,1
a supervisor is not available at this time,1
a survey at the end of the chat helps us out,1
a survey at the end of the chat helps us out d,1
a technical issue that the team is working to resolve,1
a total of 200,1
a ud,1
a utility bill a bank statement or a rent lease,1
a valid id is needed if you have a passport or drivers license this can work,1
a validation email has been sent can you please check both your inbox and your junk mail and let me know if you have received it,2
a validation link has already been sent to your account,1
a wagers requirement is how much you have to bet before you can cash out for example if it is 40x on spins that you won 10 on then your wagering requirement will be 400,1
a warm welcome to red stag casino we are happy to have you,13
a window will pop up for you to select the add on option,1
a withdrawal request takes 2 full business days to be reviewed,1
a withdrawal takes 2 full business days to be reviewed this was requested a few hours ago,1
a withdrawal was never requested on this account,1
abbigayl i hope that you are well,1
about the bonus,1
above games are included after you have completed the playthrough you may play any game on the site,1
absolutely,4
absolutely and likewise thanks for chatting and have a good night,1
absolutely coming right up,2
absolutely i can check to see which lucky treat has been hiding just for you,5
absolutely i would be happy to redeem the comp points for you i can also provide you with the steps on how to do it so you dont have to wait on chats in the future its super easy would you want me to provide you with the steps,1
absolutely it would be a pleasure,3
absolutely let me add your bonus right away derrell,1
absolutely lets access your account to get started,1
access the cashier in your red casino account go to chip transfer then enter the amount in cash chips,1
access the welcome email you would have been sent upon creating your account and tap the hyperlink,1
according to it you have an account here at rs,1
according to our terms and conditions players are not allowed to redeem multiple free bonuses consecutively without a deposit in between,1
according to our terms and conditions players from the united states are not allowed to register and play,1
according to your account history 2x 25 were successfully made and credited to your playing account in august this can be seen from your side too to access your casino account history please follow these below steps from a 4 from here you can search to see your past transactionsthere are two more attempts to deposit 25 in september but they were declined by your bank they should not be deducted from your bank account,1
according to your game history that the relevant department checked you have placed bets over the limit 84 times,1
according to your playing sessions when you logged off earlier you were playing jackpot cleopatras gold,1
account credited,1
account verification,1
account verification is done by providing documents for processing by our security team,1
account verification is important and withdrawals can be done only after,1
account verification requires 3 to 5 business days not including the day the email was sent weekends or holidays,1
accounts cannot be deleted all together it will stay here however it will be completely closed down no information in or out,1
active account at this brand,1
actually 3,1
actually here its starting the rainy season,1
actually im not sure my mother was probably crazy at the time of giving me that name,1
adam i am pleased to advise that your cashback has been credited to your account,1
add 25 spins for naughty or nice 3 game,1
add on are an option that is given to give players that arent doing so well by a certain point to top up their credit to give them a better fighting chance as you are first it really is up to you if you would like to add on,1
adding a deposit match offer on your account now will not do anything on the account unless a deposit is made,1
adding the magic now,1
additional verification generally might be needed when one of your documents expire or new payment method is used,1
additionally there is an internal processing time of 35 business days for the verification and once it is completed you will surely be informed by email,1
ademas pudiese sugerir que intentes con tu numero de cuenta rs0156658621 en lugar del user name,1
adrianna hope all is well with you,1
adzier106gmailcom,1
after 2 deposits you can get 2000 free,1
after a bank wire has been approved it takes 515 days for the funds to be credited to your account,1
after a careful review of the card used to fund the account i can confirm that the card is not allowed to make deposits in the casino,1
after a review of your account i notice you wont be able to hold an account here with us due to the fact we do not provide our services within your regionhow to redeem a free bonus,1
after a review of your account i noticed that you already enjoyed on of our free bonuses you are currently eligible for our welcome bonus that offers a 100 match up to 100000 on your first five deposits thats 500000 for you to enjoy more than 140 slots games blackjack video poker and table games,1
after a review of your account i noticed that you still have 28990 remaining to wager,1
after a review of your account i would advise contacting us at a later date to see if the bonus is available,1
after a review of your account ii notice that a free bonus is currently not available at this time,1
after a review of your account your balance was not below 100 before redepositing your funds our the bonus would have been cleared you had a balance of 108 when you redeposited your funds,1
after a review of your casino red account i noticed that your account has been deactivated due too many failed login attempts,1
after a small deposit you are welcome to return for this offer,1
after a thorough review of the game rules i can see that there was no 5 in a row for any of the symbols in order for this to have happened the 5 symbols would have had to fallen on one of the 25 paylines for the purple trex only 3 symbols fell on one of the paylines in which you were paid payline 7,1
after checking also the screenshot provided i can see that you have find it online please note that offers from third party websites are not always correct that is why you need to contact us directly in regards to any promotions offers that the casino has,1
after checking an email was sent on may 22nd 2021 advising you on the account verification and outstanding documents,1
after checking for a free bonus i have found a match offer for 100 match for a tiny deposit of 1000 via neosur there is a 30 times playthrough and a no max cashout limit,1
after checking i am not seeing any bonuses available with the code 2vipbday100,1
after checking i am seeing that as you have already enjoyed 4 free bonuses you will need to make a deposit before any more free bonuses can be claimed players may claim one free bonus before they must make their first deposit with us for your first deposit we can see which of our great welcome match bonuses are eligible for your account if you wish,1
after checking i am seeing you made your deposit at 737pm est as the payment is processing it can take up to 2 hours for the transaction to be confirmed on our endif after 120 minutes 2 hours your deposit has all the confirmations needed but still not reflected kindly contact us right away we will be more than happy to check on the status of your transaction for you,1
after checking i am seeing you made your deposit at 746pm est as the payment is processing it can take up to 2 hours for the transaction to be confirmed on our endif after 120 minutes 2 hours your deposit has all the confirmations needed but still not reflected kindly contact us right away we will be more than happy to check on the status of your transaction for you,1
after checking i am seeing you made your deposit at 913pm est as the payment is processing it can take up to 2 hours for the transaction to be confirmed on our endif after 120 minutes 2 hours your deposit has all the confirmations needed but still not reflected kindly contact us right away we will be more than happy to check on the status of your transaction for you,1
after checking i can confirm that you have already redeemed megachipy100 in june this is an one time offer,1
after checking i can confirm that you have already started to play this coupon,1
after checking i can confirm that your deposit was not successful this means that no funds were deducted from your card the preauthorized message you received is just a prompt for you to contact us for more information as a deposit might fail for many reasons in your case it is asked that you try your deposit again in 15 30 minutes on your next attempt after this timeframe you should be able to make a successful deposit to your account,2
after checking i can confirm this offer is not available for your account,2
after checking i can confirm you have redeemed this offer last month,1
after checking i can let you know that there are no irregularities what so ever in regards to the slots functionalities,1
after checking i can offer you a lucky deposit match bonus to enjoy,1
after checking i can see that you can redeem this offer in the net 39 minutes,1
after checking i can see that you have already used this coupon code and it can only be redeemed once,1
after checking i can see that you have sent your documents a few days ago i kindly ask you to send us an email again to the same address and please explain that your name on your casino account is not the same as it is in your id and ask for a change,1
after checking i can see that your attempts were unsuccessful please try again now or even a few times within 10 minutes timeframe keeping in mind that it is very important to check that every previous deposit attempt was not successful before attempting to deposit again if the deposit is still unsuccessful please contact us back so we can advise you further,1
after checking i can see that your withdrawal request is and should be processed within the next few hours,1
after checking i can see the coupon saturdayfiesta is showing as no longer available but i can look to see what great deposit match bonuses we have available for your account,1
after checking i can see there is an awesome 15 free bonus available d,1
after checking i can see you have already claimed and enjoyed your available cashback once you have made and enjoyed a new deposit free of bonuses you will be able to come to chat to claim your cashback,1
after checking i can see your recent deposit for r1000 with reference 41483527 is showing as unsuccessful if you believe you have been charged please can you email in a payment notification for the deposit once received we can raise this query with the relevant team to investigate further,1
after checking i have applied the ndbgv501022 free bonus,1
after checking i noticed that this code may be claimed if a deposit has been made within the last 7 days,1
after checking i see that an email was sent today regarding your withdrawal,1
after checking i see that as a result of where your account is registered from you are not eligible to receive any bonuses,1
after checking i see that due to our casino being in est the day chnaged just after your deposit no worries i can offer you 20 free spins on cash bandits 2 bonus terms apply should i redeem it for you,1
after checking i see that only the 20 deposit was made without a bonus,1
after checking i see that the 50vipgxbvy bonus is not available as it has expired,1
after checking i see that the bonus is 75 spins on plentiful treasures on a minimum deposit of 30,1
after checking i see that the deposit is currently on the account,1
after checking i see that the deposit was not successful,1
after checking i see that the documents have been received,1
after checking i see that the m622 coupon is a 150 bonus no spins attached,1
after checking i see that the omgchipy50spins free bonus is not available as it can only be redeemed once per player,1
after checking i see that the picture was received successfully,1
after checking i see that the withdrawal was on hold pending the submission of the document requested which caused the delay,1
after checking i see that there are no coupons on the account,1
after checking i see that there were no bonuses redeemed to the account before the deposit,1
after checking i see that this bonus if not available for your account,1
after checking i see that you have a lucky cashback of 765 available would you like to claim,1
after checking i see that you have already enjoyed a free bonus with us since signing up,3
after checking i see that your account has been closed due to not passing our security filters,1
after checking i see the comp point balance is currently,1
after checking i see theres no available free bonus on our end,3
after checking i see this bonus is not available for your account,1
after checking im not seeing that your withdrawal was fast tracked,1
after checking it appears you have reached the maximum no deposit bonus offers allowed at your play level within the casino not to worry as you continue to play with us and level up you should be able to claim more bonus offers,1
after checking it seems that free offers have already been enjoyed so far on the account since signing up with us at the moment you can enjoy a great match bonus let me know if you would like me to add one for you for your first deposit with us,1
after checking may i suggest that you contact your card issuer without mentioning gaming site just to ensure that everything is okay on their end your card may need to be activated for international purchases,2
after checking may i suggest you contact your card issuer without mentioning gaming site just to ensure that everything is okay on their end your card may need to be activated for international purchases,1
after checking on your account i can see that i can offer you a nice match deposit bonus d would you be interested,2
after checking on your account i can see that i can offer you a nice match deposit bonus instead d would you be interested,1
after checking on your account i can see that i can offer you an amazing match deposit bonus d would you be interested,1
after checking on your account i can see that i can offer you an amazing match deposit bonus would you be interested,2
after checking on your account i can see that i can redeem a nice 10 free bonus on your account d would you like that,1
after checking on your account i can see that none of those coupons are available for your account at the moment the next step for you is to make a deposit would you like me to find a nice match bonus for your account,1
after checking on your account i can see that there are no cashback available for you at the moment,1
after checking on your account i can see that there are no free bonuses available for you i can look after an amazing match bonus for you if youd like to,1
after checking on your account i can see that there are no free bonuses available for your account at the moment,1
after checking on your account i can see that there is a 55 free bonus available for you,1
after checking on your account i can see that you already claimed a free bonus the next step for your account is to make a deposit i can look after a nice match deposit bonus for you if youd like to,1
after checking on your account i can see that you are still playing with your match bonus which has a playthrough attached,1
after checking our 100 match bonus has already been fully enjoyed,1
after checking the account and the coupon code provided i can let you know that it is not eligible for it but i have managed to redeem a nice r250 welcome free cash bonus so you can test our casino good luck and of course have fun,1
after checking the account and the coupon code provided i can see that it is already active on the account and you now have a 10 positive balance,1
after checking the account and the coupon code provided i can see that it requires a deposit on saturday 25th or sunday 26th in order to be able to redeem it,1
after checking the account and the coupon code provided i can see that you have already redeemed it on the 7th of february and it can only be redeemed once per player,1
after checking the account and the offer that you are referring to i can let you know that indeed it requires a 30 minimum deposit in order to match should i go ahead and try to have a look for another deposit match bonus offer for your 20 deposit,1
after checking the account i am pleased to let you know that it has been processed and sent from our end today please keep an eye on your mailbox as you should also receive a confirmation email later today,1
after checking the account i am pleased to let you know that it is now eligible for a nice 20 free cash bonus should i go ahead and try to credit that to your account,1
after checking the account i am pleased to let you know that it is now eligible for some nice 15 free spins bonus on the game fire dragon should i go ahead and try to credit that to your account,1
after checking the account i am pleased to let you know that it is now eligible for some nice 35 free spins bonus on the game plentiful treasure should i go ahead and try to credit that to your account,1
after checking the account i am pleased to let you know that the email address has been update as requested,1
after checking the account i can advise you first of all clear the browsing history of the browser that you are using to access the casino you can also use a different browser or an alternative device such as a tablet laptop pc or another mobile device it should work,2
after checking the account i can advise you first of all clear the browsing history of the browser that you are using to access the casino you can also use a different browser or an alternative device such as a tablet laptop pc or another mobile device it should work in case if it does not work after following the provided steps please do not hesitate to contact us back so we can further assist investigate,1
after checking the account i can let you know that it has been deactivatedthis is done automatically after 10 failed login attempts in order to reactivate your account and be able to reset your password we will need you to provide us with the following details that are registered to your account,1
after checking the account i can let you know that it has been deactivatedthis is done automatically after 10 failed login attemptsin order to reactivate your account and be able to reset your password we will need you to provide us with the following details that are registered to your account,1
after checking the account i can let you know that it is not yet eligible for a cashback should i go ahead and try to have a look for a nice deposit match bonus offer for your next deposit,1
after checking the account i can let you know that the transaction has not been successful and the amount you wanted to deposit has not been deducted from the account please try again after making sure that the credit card allows international transactions and has enough balance on it so that future transactions can go through or you can also try again now by using any of the alternative deposit methods available for the account which can be found on the cashier tab in your casino account,1
after checking the account i can let you know that the transaction has not been successful and the amount you wanted to deposit has not been deducted from the account please try again after making sure that the credit card allows international transactions or you can also try again now by using any of the alternative deposit methods available for the account which can be found on the cashier tab in your casino account,2
after checking the account i can let you know that the transaction is in pre authorized status which means that it has not been successful and the amount you wanted to deposit has not been deducted from the account please try after making sure that the credit card allows international transactions or you can also try again now by using any of the alternative deposit methods available for the account which can be found on the cashier tab in your casino account,1
after checking the account i can let you know that the transaction is in pre authorized status which means that it has not been successful and the amount you wanted to deposit has not been deducted from the account please try again after making sure that the credit card allows international transactions or you can also try again now by using any of the alternative deposit methods available for the account which can be found on the cashier tab in your casino account,1
after checking the account i can let you know that unfortunately you were not one of our last friday fair draw but it is not eligible for some nice 15 free spins on the game fire dragon should i go ahead and try to redeem that to your account,1
after checking the account i can see that we have not yet received any email from oreneilesebothegmailcom containing the account verification documents,1
after checking the account i can see that you have a 218 positive balance available for withdrawal,1
after checking the account i can see that you have a positive balance please make sure to contact us back when the account is under 1 so we can check for any other promotionsbonuses that the account might be eligible for,1
